VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,EST_DIS,UPM_DIS,DOMINIO,ESTRATO,FAC_DEL_AM,CLUSTERS
15,1,1,1,1,1,14,1,6,1,1,2,1,2,2,4,2,3,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,176,3,281,3,2,0,0
3,1,1,1,3,3,14,1,12,1,1,4,2,1,2,3,2,1,3000,0,1,1,1,1,1,0,1,1,1,0,0,0,175,5,58,1,3,176,0
1,1,3,3,2,1,14,1,11,1,1,4,1,2,2,99,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,185,4,235,1,2,185,0
3,1,1,1,4,1,14,1,10,1,1,3,2,1,2,6,1,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,214,4,88,1,2,213,0
1,1,1,2,2,1,14,1,5,1,1,3,1,2,2,5,2,1,16000,1600,0,0,0,0,0,0,0,0,0,0,0,0,186,5,23,1,3,184,0
1,1,2,2,2,2,14,1,4,1,1,4,1,2,2,9,2,1,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,187,5,150,1,3,185,0
1,1,1,2,2,1,14,1,11,1,1,4,1,2,2,4,2,1,9999999,0,0,0,0,0,0,0,0,0,0,0,0,0,173,5,125,1,3,173,1
1,1,3,4,2,1,14,1,10,1,1,4,1,2,2,8,2,1,9999999,0,0,0,0,0,0,0,0,0,0,0,0,0,199,5,75,1,3,196,1
1,1,1,1,4,1,14,1,11,1,1,3,2,1,2,9,1,5,4853,227,1,0,1,1,0,0,0,0,1,0,0,0,184,4,89,1,2,184,0
5,1,1,2,7,2,14,1,11,1,1,1,2,1,2,3,2,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,418,5,269,1,3,414,0
5,1,1,2,10,1,14,1,2,1,1,2,2,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,4,249,1,2,297,0
